order_id,order_date,customer_id,product_id,product_category,brand,price,discount_percent,delivery_location,size,color,customer_history_returns,return_flag,return_reason,days_to_return
ORD100028,2026-02-01,CUST16530,PROD2996,Tops,BrandC,332.43,20,Bengaluru,S,Red,0,1,Fit/Sizing,2.0
ORD100029,2024-03-06,CUST16190,PROD2256,Tops,BrandB,419.36,20,Pune,XS,Blue,2,0,,
ORD100030,2024-03-04,CUST17345,PROD1539,Tops,BrandG,1218.58,10,Bengaluru,XL,Red,0,0,,
ORD100031,2024-04-05,CUST17418,PROD1876,Tops,BrandC,1685.21,50,Mumbai,XL,White,2,0,,
ORD100032,2024-02-25,CUST12000,PROD1708,Activewear,BrandG,1239.84,30,Kolkata,M,Black,0,0,,
ORD100033,2025-11-19,CUST12081,PROD2371,Bottoms,BrandA,494.25,30,Bengaluru,XS,Yellow,0,0,,
ORD100034,2025-04-14,CUST13981,PROD1577,Ethnic,BrandG,469.18,20,Bengaluru,M,Blue,0,0,,
ORD100035,2024-03-20,CUST12180,PROD1796,Tops,BrandG,360.42,10,Lucknow,XL,White,0,1,Fit/Sizing,7.0
ORD100036,2024-12-10,CUST14455,PROD1899,Bottoms,BrandG,703.26,50,Chennai,M,Blue,0,0,,
ORD100037,2025-05-22,CUST13117,PROD1545,Tops,BrandC,2509.91,10,Chennai,XXL,Blue,0,1,Fit/Sizing,5.0
ORD100038,2024-01-07,CUST14569,PROD1027,Bottoms,BrandC,2132.26,20,Pune,M,Grey,1,0,,
ORD100039,2024-05-18,CUST11296,PROD2254,Tops,BrandD,3467.48,20,Chennai,M,Black,0,1,Fit/Sizing,5.0
ORD100040,2024-02-26,CUST15401,PROD2343,Footwear,BrandC,1562.42,0,Delhi,XXL,Yellow,0,1,Quality,5.0
ORD100041,2024-12-09,CUST12595,PROD1919,Tops,BrandC,721.11,50,Hyderabad,XXL,Blue,0,0,,
ORD100042,2024-05-11,CUST16979,PROD2810,Tops,BrandE,416.65,10,Hyderabad,M,Grey,0,0,,
ORD100043,2024-11-12,CUST12060,PROD2191,Ethnic,BrandB,960.5,0,Bengaluru,XXL,Grey,0,0,,
ORD100044,2024-02-11,CUST12635,PROD2570,Activewear,BrandE,2826.81,30,Kolkata,M,Green,0,0,,
ORD100045,2024-04-09,CUST11863,PROD2318,Ethnic,BrandG,1522.85,10,Hyderabad,XS,Black,0,0,,
ORD100046,2024-10-28,CUST17667,PROD2038,Activewear,BrandD,2057.49,50,Kolkata,XL,Green,0,1,Quality,5.0
ORD100047,2024-07-23,CUST15996,PROD1215,Accessories,BrandD,2149.06,0,Kolkata,S,Blue,0,0,,
ORD100048,2025-06-21,CUST12597,PROD2157,Bottoms,BrandC,2504.89,20,Delhi,L,Blue,0,0,,
ORD100049,2024-02-06,CUST13449,PROD2928,Bottoms,BrandE,2839.3,40,Delhi,XL,Green,0,0,,
ORD100050,2025-05-19,CUST13502,PROD1968,Ethnic,BrandB,2404.76,10,Bengaluru,XS,White,0,0,,
ORD100051,2024-02-19,CUST15298,PROD2205,Tops,BrandD,1219.51,10,Kolkata,M,Yellow,0,0,,
ORD100052,2024-07-15,CUST15182,PROD2724,Tops,BrandB,1940.46,30,Bengaluru,XXL,Green,0,0,,
ORD100053,2024-03-04,CUST16645,PROD1987,Footwear,BrandD,602.61,0,Pune,M,White,0,0,,
ORD100054,2024-02-24,CUST10832,PROD1312,Tops,BrandB,2103.27,30,Mumbai,XS,Red,0,0,,
ORD100055,2025-02-22,CUST10164,PROD1181,Tops,BrandB,401.8,0,Mumbai,M,Green,0,0,,
ORD100056,2025-08-16,CUST14802,PROD1470,Tops,BrandF,1155.55,20,Bengaluru,L,Blue,1,0,,
ORD100057,2024-05-29,CUST13186,PROD2232,Bottoms,BrandD,2708.56,0,Pune,L,White,0,0,,
ORD100058,2024-05-16,CUST11622,PROD2652,Tops,BrandA,2718.89,30,Mumbai,XL,Black,0,0,,
ORD100059,2024-09-12,CUST15941,PROD2386,Tops,BrandA,627.8,10,Mumbai,L,Black,0,0,,
ORD100060,2024-10-21,CUST11785,PROD2571,Footwear,BrandA,737.69,10,Hyderabad,S,Black,0,0,,
ORD100061,2025-05-13,CUST15158,PROD2826,Ethnic,BrandF,635.29,20,Bengaluru,L,Blue,0,0,,
ORD100062,2024-01-11,CUST15895,PROD1660,Ethnic,BrandE,1787.15,40,Chennai,M,White,0,0,,
ORD100063,2025-01-31,CUST10390,PROD2805,Tops,BrandE,817.66,50,Lucknow,S,Grey,1,0,,
ORD100064,2025-03-10,CUST12983,PROD1985,Ethnic,BrandA,2538.48,30,Bengaluru,S,Black,0,0,,
ORD100065,2024-03-23,CUST14124,PROD1957,Tops,BrandA,3095.88,10,Bengaluru,XXL,Black,0,0,,
ORD100066,2024-02-29,CUST10431,PROD1704,Activewear,BrandA,381.7,0,Lucknow,XL,Green,0,1,Quality,10.0
ORD100067,2024-01-12,CUST15429,PROD1884,Ethnic,BrandA,475.86,0,Lucknow,XXL,Green,4,0,,
ORD100068,2024-01-28,CUST14069,PROD1780,Tops,BrandD,3472.75,40,Bengaluru,M,Blue,2,0,,
ORD100069,2025-01-16,CUST10974,PROD1037,Bottoms,BrandE,415.38,0,Chennai,XL,Green,0,0,,
ORD100070,2024-12-28,CUST13930,PROD2996,Bottoms,BrandG,801.94,0,Mumbai,XS,Green,0,0,,
ORD100071,2024-05-21,CUST10825,PROD1760,Tops,BrandF,1315.79,0,Kolkata,XXL,Green,0,1,Fit/Sizing,7.0
ORD100072,2024-01-22,CUST14770,PROD2007,Tops,BrandF,3554.41,10,Chennai,XXL,Green,1,0,,
ORD100073,2024-06-29,CUST12752,PROD1021,Accessories,BrandA,596.83,20,Bengaluru,M,Blue,0,1,Quality,15.0
ORD100074,2025-02-09,CUST17266,PROD1396,Activewear,BrandD,1021.25,30,Mumbai,M,Blue,1,0,,
ORD100075,2024-06-14,CUST17620,PROD2410,Bottoms,BrandB,1337.08,0,Delhi,XS,Red,0,0,,
ORD100076,2024-01-25,CUST11050,PROD2709,Footwear,BrandA,1396.52,50,Mumbai,XS,Yellow,0,1,Quality,5.0
ORD100077,2024-08-25,CUST15463,PROD1583,Bottoms,BrandC,2463.61,20,Bengaluru,XXL,Blue,1,0,,
ORD100078,2024-06-01,CUST15791,PROD2486,Footwear,BrandD,843.63,30,Lucknow,XS,White,1,0,,
ORD100079,2024-07-10,CUST12169,PROD1142,Tops,BrandA,471.07,0,Pune,XS,Yellow,0,0,,
ORD100080,2024-09-20,CUST14206,PROD1250,Footwear,BrandE,934.05,30,Hyderabad,XS,Red,0,0,,
ORD100081,2024-01-15,CUST13665,PROD2989,Ethnic,BrandB,2973.6,20,Mumbai,M,Green,0,0,,
ORD100082,2024-01-06,CUST10403,PROD1804,Bottoms,BrandC,900.74,20,Hyderabad,XS,Red,0,0,,
ORD100083,2024-02-09,CUST14281,PROD2269,Bottoms,BrandC,525.26,30,Delhi,L,Yellow,0,0,,
ORD100084,2024-01-02,CUST14599,PROD1230,Bottoms,BrandD,1590.21,10,Bengaluru,M,Green,0,0,,
ORD100085,2024-02-06,CUST10629,PROD1269,Bottoms,BrandC,2916.09,0,Chennai,XS,Black,0,0,,
ORD100086,2024-07-23,CUST11742,PROD2925,Tops,BrandA,596.14,0,Mumbai,S,Green,0,0,,
ORD100087,2024-01-31,CUST15370,PROD2834,Tops,BrandB,3095.1,10,Hyderabad,L,Yellow,0,0,,
ORD100088,2024-08-17,CUST10128,PROD2014,Accessories,BrandC,1421.22,10,Chennai,S,Blue,0,0,,
ORD100089,2024-07-04,CUST14909,PROD2987,Accessories,BrandB,1279.08,20,Bengaluru,S,White,0,0,,
ORD100090,2024-01-26,CUST13173,PROD1493,Activewear,BrandC,551.35,30,Bengaluru,M,Black,0,0,,
ORD100091,2024-06-05,CUST14400,PROD1735,Bottoms,BrandB,606.3,20,Kolkata,XS,Blue,2,0,,
ORD100092,2024-02-25,CUST12390,PROD2349,Ethnic,BrandE,1053.1,0,Chennai,L,Grey,1,0,,
ORD100093,2026-01-22,CUST13635,PROD1493,Bottoms,BrandF,721.63,0,Chennai,S,Black,1,1,Late Delivery,5.0
ORD100094,2024-07-27,CUST13957,PROD2798,Ethnic,BrandC,2109.33,20,Hyderabad,S,Black,0,0,,
ORD100095,2024-06-25,CUST15699,PROD1049,Ethnic,BrandF,2132.97,0,Chennai,XS,Grey,0,1,Late Delivery,7.0
ORD100096,2024-04-13,CUST17327,PROD2546,Tops,BrandC,2995.12,50,Delhi,XL,White,0,1,Quality,7.0
ORD100097,2024-07-11,CUST11190,PROD1620,Tops,BrandA,414.28,10,Bengaluru,XXL,Black,0,0,,
ORD100098,2026-12-15,CUST11735,PROD2585,Accessories,BrandB,612.41,0,Bengaluru,XXL,Black,0,0,,
ORD100099,2025-06-07,CUST13374,PROD2016,Tops,BrandC,3385.04,0,Bengaluru,L,Blue,0,0,,
ORD100100,2024-03-30,CUST17121,PROD1455,Ethnic,BrandA,1294.72,0,Delhi,S,Green,0,0,,
ORD100101,2024-06-04,CUST13267,PROD2489,Footwear,BrandG,1538.92,10,Hyderabad,XS,White,0,0,,
ORD100102,2024-06-20,CUST17693,PROD1072,Bottoms,BrandA,443.83,50,Hyderabad,S,Black,0,0,,
ORD100103,2024-06-08,CUST17603,PROD1898,Activewear,BrandF,1017.6,10,Hyderabad,L,Green,1,0,,
ORD100104,2024-05-12,CUST11884,PROD1042,Accessories,BrandE,667.25,20,Mumbai,XS,White,1,0,,
ORD100105,2024-02-08,CUST13565,PROD1882,Tops,BrandE,400.5,50,Kolkata,L,Red,0,0,,
ORD100106,2024-05-11,CUST16626,PROD1518,Footwear,BrandD,2185.8,30,Delhi,S,Yellow,0,1,Fit/Sizing,2.0
ORD100107,2024-03-02,CUST17380,PROD2716,Ethnic,BrandG,852.76,10,Chennai,XL,Red,0,0,,
ORD100108,2024-04-25,CUST13804,PROD2459,Activewear,BrandC,471.67,30,Bengaluru,XS,White,0,0,,
ORD100109,2024-01-08,CUST12247,PROD1944,Accessories,BrandA,2881.31,0,Lucknow,XL,Green,1,0,,
ORD100110,2024-01-18,CUST14531,PROD1398,Activewear,BrandF,607.88,0,Chennai,S,Yellow,0,0,,
ORD100111,2024-11-16,CUST10962,PROD2584,Bottoms,BrandB,3171.63,20,Delhi,S,White,0,0,,
ORD100112,2024-04-08,CUST17035,PROD2249,Tops,BrandC,2597.49,0,Bengaluru,XXL,Red,0,1,Wrong Item,7.0
ORD100113,2024-10-26,CUST15341,PROD2654,Activewear,BrandB,526.16,0,Lucknow,XXL,Yellow,0,1,Fit/Sizing,2.0
ORD100114,2024-09-29,CUST14558,PROD1435,Ethnic,BrandB,601.33,10,Bengaluru,XL,Green,0,0,,
ORD100115,2024-02-15,CUST17353,PROD2679,Ethnic,BrandE,836.51,0,Bengaluru,S,White,0,0,,
ORD100116,2024-08-14,CUST12547,PROD1931,Tops,BrandF,1698.48,0,Kolkata,XL,Black,1,0,,
ORD100117,2024-03-28,CUST11929,PROD1535,Tops,BrandA,1446.61,20,Delhi,XXL,Yellow,1,0,,
ORD100118,2024-07-21,CUST15174,PROD1499,Footwear,BrandD,518.83,20,Delhi,M,Black,0,0,,
ORD100119,2024-03-12,CUST15469,PROD1182,Ethnic,BrandB,741.69,30,Kolkata,XS,Red,0,0,,
ORD100120,2024-01-05,CUST12171,PROD1074,Ethnic,BrandG,1047.67,10,Bengaluru,XL,Blue,1,0,,
ORD100121,2024-09-17,CUST14676,PROD2372,Footwear,BrandD,1178.95,10,Delhi,L,Yellow,0,0,,
ORD100122,2024-03-05,CUST14283,PROD2592,Ethnic,BrandE,724.02,10,Delhi,XXL,Red,0,0,,
ORD100123,2024-10-22,CUST10581,PROD2579,Tops,BrandF,942.04,20,Bengaluru,S,Black,0,0,,
ORD100124,2024-06-15,CUST11449,PROD2689,Bottoms,BrandB,2992.38,50,Delhi,S,Green,0,0,,
ORD100125,2024-11-09,CUST16633,PROD2016,Activewear,BrandD,475.69,0,Bengaluru,M,Black,0,0,,
ORD100126,2024-03-29,CUST16165,PROD2135,Tops,BrandA,741.21,20,Delhi,XXL,Red,2,0,,
ORD100127,2024-10-22,CUST15774,PROD1375,Tops,BrandE,1032.26,0,Bengaluru,S,Red,0,0,,
ORD100128,2024-01-20,CUST14869,PROD1678,Accessories,BrandF,417.84,10,Mumbai,L,White,0,0,,
ORD100129,2024-03-05,CUST12285,PROD2127,Footwear,BrandC,1674.84,10,Pune,M,Blue,1,1,Quality,7.0
ORD100130,2024-07-20,CUST11781,PROD2810,Activewear,BrandF,2372.51,10,Lucknow,XL,Yellow,0,0,,
ORD100131,2024-01-24,CUST12400,PROD1195,Ethnic,BrandG,1426.07,10,Mumbai,XXL,White,2,0,,
ORD100132,2024-07-09,CUST11821,PROD1985,Tops,BrandA,357.48,0,Bengaluru,S,White,0,0,,
ORD100133,2024-02-21,CUST14384,PROD1723,Ethnic,BrandA,751.1,0,Mumbai,XS,Red,1,1,Fit/Sizing,5.0
ORD100134,2024-08-10,CUST13373,PROD2677,Activewear,BrandB,3345.02,20,Mumbai,XS,Yellow,0,0,,
ORD100135,2024-01-28,CUST13618,PROD2682,Activewear,BrandA,725.67,10,Delhi,XXL,Grey,0,0,,
ORD100136,2024-01-10,CUST15755,PROD2398,Footwear,BrandE,759.68,30,Hyderabad,XS,Yellow,0,0,,
ORD100137,2024-11-12,CUST10040,PROD2731,Tops,BrandG,532.49,20,Pune,XL,Yellow,0,0,,
ORD100138,2024-04-24,CUST17156,PROD2224,Activewear,BrandE,329.52,50,Delhi,L,Yellow,1,0,,
ORD100139,2024-05-08,CUST13740,PROD1178,Tops,BrandD,857.47,10,Chennai,S,White,1,0,,
ORD100140,2024-05-08,CUST14378,PROD2671,Tops,BrandC,2796.68,10,Mumbai,M,Green,0,0,,
ORD100141,2024-01-25,CUST17008,PROD1601,Footwear,BrandC,1757.88,10,Delhi,XS,Black,0,0,,
ORD100142,2024-03-15,CUST11356,PROD1126,Bottoms,BrandC,674.12,40,Chennai,L,Green,2,1,Fit/Sizing,5.0
ORD100143,2024-07-26,CUST17826,PROD2774,Bottoms,BrandF,383.72,10,Kolkata,S,Grey,0,1,Fit/Sizing,2.0
ORD100144,2024-03-10,CUST12501,PROD1666,Ethnic,BrandD,708.5,0,Delhi,XXL,Red,0,0,,
ORD100145,2025-01-30,CUST17446,PROD2431,Accessories,BrandF,1709.96,10,Delhi,XS,Green,0,0,,
ORD100146,2024-04-22,CUST12070,PROD1359,Activewear,BrandA,2432.09,10,Hyderabad,S,Red,0,0,,
ORD100147,2024-06-13,CUST12011,PROD2442,Bottoms,BrandA,335.36,30,Hyderabad,L,Red,0,0,,
ORD100148,2024-03-16,CUST11257,PROD2586,Tops,BrandF,1097.92,40,Delhi,S,Red,1,1,Fit/Sizing,7.0
ORD100149,2024-03-04,CUST14916,PROD2402,Ethnic,BrandC,450.96,0,Delhi,XXL,Grey,1,0,,
ORD100150,2024-04-10,CUST12186,PROD1995,Bottoms,BrandG,523.63,20,Chennai,XL,Grey,0,0,,
ORD100151,2025-02-23,CUST10266,PROD2845,Footwear,BrandF,1316.91,20,Delhi,L,Black,1,0,,
ORD100152,2024-09-15,CUST17929,PROD2251,Bottoms,BrandB,2440.25,20,Pune,M,White,1,0,,
ORD100153,2024-04-28,CUST12558,PROD2352,Tops,BrandA,454.38,40,Delhi,XXL,Blue,0,0,,
ORD100154,2024-11-11,CUST14778,PROD2858,Accessories,BrandA,1131.24,30,Mumbai,XXL,Black,1,0,,
ORD100155,2024-04-14,CUST12235,PROD2151,Ethnic,BrandG,730.76,0,Hyderabad,XXL,Yellow,0,0,,
ORD100156,2024-02-01,CUST15409,PROD1044,Activewear,BrandD,414.54,20,Kolkata,XXL,Red,0,0,,
ORD100157,2024-07-04,CUST14727,PROD2917,Bottoms,BrandA,1980.16,0,Chennai,XL,Green,0,0,,
ORD100158,2024-05-26,CUST17177,PROD2507,Accessories,BrandA,447.49,30,Pune,XXL,Yellow,0,1,Late Delivery,2.0
ORD100159,2024-03-24,CUST15835,PROD2584,Bottoms,BrandA,454.32,30,Delhi,S,Black,1,0,,
ORD100160,2024-04-08,CUST10818,PROD1140,Bottoms,BrandC,2962.89,0,Chennai,S,Green,0,0,,
ORD100161,2024-05-18,CUST15904,PROD2475,Ethnic,BrandB,1187.21,20,Lucknow,XS,Green,0,0,,
ORD100162,2024-05-07,CUST14968,PROD1891,Activewear,BrandB,1353.52,40,Mumbai,XS,Yellow,1,0,,
ORD100163,2024-01-09,CUST16417,PROD2026,Bottoms,BrandE,1286.38,10,Hyderabad,XL,Red,0,0,,
ORD100164,2025-04-18,CUST13596,PROD2700,Activewear,BrandF,339.05,10,Hyderabad,XXL,Black,0,0,,
ORD100165,2024-03-02,CUST14214,PROD2179,Bottoms,BrandB,1209.36,30,Kolkata,S,Green,0,0,,
ORD100166,2024-10-30,CUST15647,PROD1719,Bottoms,BrandE,2302.25,20,Hyderabad,XS,Grey,0,0,,
ORD100167,2024-07-25,CUST16555,PROD2228,Ethnic,BrandC,1063.62,40,Kolkata,L,White,0,0,,
ORD100168,2024-11-27,CUST17192,PROD2417,Bottoms,BrandB,1212.08,40,Mumbai,M,Blue,1,0,,
ORD100169,2024-08-15,CUST12052,PROD2619,Accessories,BrandC,1448.42,10,Kolkata,XL,White,0,0,,
ORD100170,2025-10-08,CUST11757,PROD1002,Tops,BrandC,341.07,50,Hyderabad,L,Red,0,1,Fit/Sizing,20.0
ORD100171,2024-04-09,CUST11283,PROD1619,Ethnic,BrandG,538.58,10,Lucknow,S,Grey,1,0,,
ORD100172,2024-07-20,CUST12801,PROD2877,Activewear,BrandD,963.53,10,Lucknow,S,Grey,0,0,,
ORD100173,2024-01-10,CUST12936,PROD1348,Footwear,BrandE,823.08,10,Pune,M,Black,1,0,,
ORD100174,2025-02-23,CUST12765,PROD2040,Ethnic,BrandB,925.55,10,Pune,XS,White,1,1,Late Delivery,2.0
ORD100175,2025-03-25,CUST15699,PROD1708,Ethnic,BrandD,1207.01,30,Mumbai,L,Grey,2,0,,
ORD100176,2024-01-20,CUST16696,PROD2391,Bottoms,BrandF,2836.28,10,Pune,XS,Blue,1,0,,
ORD100177,2024-01-13,CUST12480,PROD1470,Tops,BrandB,1147.12,20,Hyderabad,XL,Black,0,0,,
ORD100178,2024-07-07,CUST10383,PROD2714,Tops,BrandB,1637.94,20,Bengaluru,XL,Grey,1,0,,
ORD100179,2024-01-05,CUST13811,PROD2574,Tops,BrandF,1553.35,20,Delhi,S,White,0,0,,
ORD100180,2025-06-24,CUST15679,PROD1435,Accessories,BrandA,1008.37,20,Hyderabad,L,Black,1,0,,
ORD100181,2024-08-29,CUST11661,PROD1312,Bottoms,BrandF,2813.47,10,Lucknow,M,Black,0,1,Quality,10.0
ORD100182,2024-05-19,CUST16033,PROD1368,Tops,BrandF,2796.43,20,Pune,L,Blue,0,0,,
ORD100183,2024-03-15,CUST10999,PROD1524,Activewear,BrandE,670.08,0,Pune,L,Grey,0,0,,
ORD100184,2024-04-09,CUST14546,PROD2649,Ethnic,BrandG,448.6,0,Mumbai,L,Yellow,0,0,,
ORD100185,2024-07-24,CUST10887,PROD2082,Bottoms,BrandA,3221.46,10,Delhi,L,Black,0,1,Fit/Sizing,5.0
ORD100186,2024-02-12,CUST12761,PROD1360,Activewear,BrandA,335.66,20,Lucknow,XS,Green,0,0,,
ORD100187,2025-08-27,CUST15922,PROD1207,Accessories,BrandD,1779.93,20,Delhi,XL,Grey,0,0,,
ORD100188,2024-07-01,CUST12849,PROD1917,Activewear,BrandB,3246.87,20,Bengaluru,L,Blue,2,0,,
ORD100189,2025-01-01,CUST14120,PROD1283,Accessories,BrandC,1801.58,10,Lucknow,L,Black,0,0,,
ORD100190,2024-09-07,CUST13342,PROD1643,Bottoms,BrandE,724.01,20,Chennai,S,White,0,0,,
ORD100191,2024-06-29,CUST16136,PROD2389,Bottoms,BrandB,2353.92,10,Mumbai,XS,Blue,0,0,,
ORD100192,2025-05-22,CUST16647,PROD2709,Bottoms,BrandD,2189.24,20,Delhi,S,Black,0,0,,
ORD100193,2024-01-14,CUST14663,PROD2210,Footwear,BrandE,1455.59,10,Chennai,XL,Grey,1,1,Quality,15.0
ORD100194,2024-11-04,CUST13278,PROD2152,Ethnic,BrandC,480.79,40,Delhi,XL,Green,1,1,Wrong Item,5.0
ORD100195,2024-07-19,CUST14841,PROD2558,Bottoms,BrandE,1033.0,30,Mumbai,XL,Red,0,1,Late Delivery,5.0
ORD100196,2024-05-02,CUST12472,PROD1629,Ethnic,BrandG,1968.49,10,Delhi,XS,Green,0,0,,
ORD100197,2024-02-25,CUST10596,PROD1449,Footwear,BrandF,1523.81,10,Bengaluru,S,Blue,0,0,,
ORD100198,2024-06-04,CUST12294,PROD2582,Bottoms,BrandB,2615.25,20,Bengaluru,XXL,Black,0,0,,
ORD100199,2024-02-16,CUST12977,PROD1092,Footwear,BrandA,398.31,40,Bengaluru,S,Black,0,1,Late Delivery,2.0
ORD100200,2025-02-18,CUST11788,PROD2410,Footwear,BrandE,3276.49,20,Kolkata,XL,Black,0,0,,
ORD100201,2024-04-08,CUST14008,PROD1428,Footwear,BrandA,3363.12,40,Mumbai,XXL,Yellow,0,0,,
ORD100202,2024-05-04,CUST16079,PROD1220,Footwear,BrandB,578.77,30,Chennai,XXL,Red,0,0,,
ORD100203,2024-10-31,CUST16704,PROD1904,Tops,BrandF,2547.4,0,Kolkata,S,White,1,0,,
ORD100204,2025-01-17,CUST14678,PROD2115,Tops,BrandG,360.41,20,Bengaluru,S,Red,0,0,,
ORD100205,2024-08-26,CUST10615,PROD2082,Tops,BrandD,484.0,40,Hyderabad,XS,White,0,0,,
ORD100206,2024-07-31,CUST14334,PROD1194,Activewear,BrandE,403.58,30,Bengaluru,XXL,Green,1,0,,
ORD100207,2024-06-11,CUST13940,PROD1339,Bottoms,BrandC,393.25,10,Bengaluru,M,Grey,0,0,,
ORD100208,2025-04-11,CUST14550,PROD1103,Accessories,BrandA,2248.11,20,Delhi,M,Red,2,0,,
ORD100209,2024-01-03,CUST12850,PROD2011,Activewear,BrandF,1538.68,10,Chennai,M,Yellow,1,0,,
ORD100210,2025-02-09,CUST16281,PROD1338,Footwear,BrandG,682.87,30,Bengaluru,L,Blue,0,0,,
ORD100211,2024-08-14,CUST15681,PROD2923,Activewear,BrandC,1554.86,0,Bengaluru,S,Blue,0,0,,
ORD100212,2024-02-07,CUST11874,PROD1832,Accessories,BrandD,2704.06,10,Chennai,XL,Yellow,0,0,,
ORD100213,2024-06-28,CUST17389,PROD1165,Footwear,BrandD,513.49,10,Lucknow,S,Blue,0,0,,
ORD100214,2024-02-14,CUST14925,PROD2770,Tops,BrandF,2195.77,30,Mumbai,XS,Blue,0,0,,
ORD100215,2024-11-07,CUST16509,PROD1275,Bottoms,BrandC,426.02,40,Bengaluru,XXL,Blue,0,1,Fit/Sizing,7.0
ORD100216,2024-01-05,CUST17972,PROD2661,Tops,BrandA,2154.71,0,Chennai,XL,Yellow,1,0,,
ORD100217,2024-03-04,CUST17543,PROD2494,Tops,BrandF,1188.69,30,Bengaluru,M,Red,0,1,Fit/Sizing,5.0
ORD100218,2024-10-16,CUST15208,PROD1687,Footwear,BrandG,456.81,10,Hyderabad,XL,Black,1,0,,
ORD100219,2025-08-28,CUST16587,PROD2350,Tops,BrandF,2157.75,10,Hyderabad,XL,Green,0,1,Fit/Sizing,5.0
ORD100220,2024-07-04,CUST11695,PROD2210,Tops,BrandD,1092.84,0,Mumbai,S,Yellow,0,0,,
ORD100221,2025-02-18,CUST15887,PROD1698,Bottoms,BrandE,1043.19,20,Mumbai,XXL,Green,0,0,,
ORD100222,2024-11-04,CUST14576,PROD2920,Bottoms,BrandA,2919.57,0,Mumbai,M,White,0,0,,
ORD100223,2024-02-15,CUST17678,PROD1912,Ethnic,BrandG,478.61,30,Mumbai,XL,Yellow,0,0,,
ORD100224,2024-02-18,CUST16614,PROD1383,Tops,BrandD,1053.05,50,Kolkata,M,White,0,0,,
ORD100225,2025-01-23,CUST15387,PROD2344,Accessories,BrandB,769.12,0,Kolkata,S,Green,2,0,,
